Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1914,-.15,-.19,-.11,-.25,-.06,-.18,-.40,-.15,-.28,-.10,-.02,-.15,-.18,-.36
1915,-.14,-.14,-.14,-.23,-.01,-.22,-.62,-.16,-.18,.00,-.03,-.15,-.23,-1.97
1916,-.36,-.42,-.31,-.37,-.45,-.23,-.51,-.53,-.24,-.49,-.41,-.22,-.17,-1.04
1917,-.46,-.57,-.36,-.50,-.64,-.18,-.85,-.48,-.42,-.68,-.59,-.22,-.09,.07
1918,-.29,-.39,-.20,-.40,-.33,-.13,-1.04,-.25,-.34,-.37,-.29,-.05,-.22,-.27
1919,-.27,-.34,-.20,-.43,-.19,-.22,-.73,-.54,-.30,-.21,-.17,-.14,-.32,.21
1920,-.27,-.30,-.24,-.25,-.25,-.32,-.03,-.19,-.34,-.36,-.14,-.19,-.48,-1.13
1921,-.19,-.11,-.27,.02,-.25,-.30,-.03,.18,-.09,-.28,-.22,-.22,-.38,-.83
1922,-.28,-.27,-.30,-.24,-.32,-.27,-.34,-.39,-.13,-.31,-.32,-.24,-.28,-.27
1923,-.26,-.21,-.31,-.15,-.29,-.33,.14,-.14,-.25,-.31,-.28,-.26,-.41,-.54
1924,-.27,-.18,-.36,-.13,-.26,-.43,.44,-.24,-.22,-.25,-.26,-.39,-.45,-.52
1925,-.22,-.13,-.30,-.04,-.24,-.37,-.10,.19,-.17,-.27,-.21,-.24,-.55,-.85
1926,-.10,.03,-.22,.03,.02,-.40,.55,.17,-.21,.03,.02,-.34,-.45,-.63
1927,-.22,-.13,-.30,-.13,-.16,-.38,.01,-.20,-.12,-.13,-.19,-.30,-.45,-1.37
1928,-.20,-.09,-.30,-.06,-.15,-.39,.70,-.16,-.22,-.13,-.17,-.29,-.48,-2.11
1929,-.36,-.33,-.38,-.37,-.28,-.45,.14,-.60,-.38,-.26,-.29,-.42,-.44,-1.07
1930,-.16,-.01,-.29,.04,-.11,-.42,.53,.05,-.10,-.09,-.13,-.33,-.47,-2.59
1931,-.09,.05,-.22,.01,.07,-.42,.56,-.03,-.14,.10,.05,-.42,-.40,-.40
1932,-.16,-.05,-.26,.04,-.17,-.35,.48,.20,-.20,-.19,-.15,-.21,-.53,-.98
1933,-.28,-.25,-.32,-.23,-.28,-.34,-.16,-.46,-.11,-.28,-.29,-.21,-.48,-1.14
1934,-.12,.00,-.26,.18,-.25,-.26,.87,.32,-.12,-.25,-.25,-.15,-.38,-.56
1935,-.20,-.09,-.30,-.04,-.19,-.37,.34,-.04,-.16,-.16,-.21,-.30,-.41,-1.71
1936,-.15,-.03,-.26,-.02,-.13,-.30,.39,.11,-.25,-.04,-.22,-.26,-.33,-.03
1937,-.03,.12,-.18,.20,-.05,-.22,1.24,.03,-.02,.01,-.12,-.19,-.26,.37
1938,.00,.16,-.18,.39,-.23,-.10,1.50,.39,.03,-.18,-.28,-.06,-.11,-.86
1939,-.02,.09,-.13,.23,-.12,-.12,.56,.29,.09,-.11,-.14,-.04,-.18,-1.59
1940,.13,.18,.09,.11,.28,-.07,1.00,-.02,-.09,.28,.29,.03,-.20,-.05
1941,.19,.23,.17,.02,.49,-.05,.00,-.09,.09,.55,.44,.04,-.15,-.46
1942,.07,.13,.01,.13,.08,-.01,.73,-.06,.06,.12,.03,.05,-.05,-.89
1943,.09,.18,-.01,.38,-.08,.04,1.42,.28,.11,-.10,-.07,.07,.00,1.15
1944,.20,.27,.14,.38,.19,.05,1.18,.47,.10,.11,.26,.19,-.10,-.92
1945,.09,.11,.09,.11,.17,-.03,.63,-.02,.05,.10,.24,.03,.00,-1.76
1946,-.07,.03,-.17,.07,-.05,-.24,-.02,-.05,.17,-.02,-.07,-.22,-.24,-.15
1947,-.03,.08,-.13,.16,-.06,-.16,1.07,-.13,.05,-.03,-.09,-.19,-.08,-.19
1948,-.11,-.01,-.20,.13,-.18,-.24,.12,.32,.01,-.23,-.14,-.19,-.19,-1.36
1949,-.11,-.02,-.19,.12,-.19,-.23,.21,.17,.05,-.23,-.15,-.17,-.15,-1.95
1950,-.17,-.15,-.21,-.05,-.29,-.14,.20,-.30,.04,-.30,-.28,-.06,-.16,-.85
1951,-.07,.05,-.18,.08,-.06,-.23,.09,.01,.12,-.01,-.12,-.22,-.16,-.68
1952,.01,.06,-.04,.11,.01,-.09,.27,-.09,.19,-.01,.04,-.10,-.02,-.49
1953,.08,.24,-.08,.35,.07,-.18,1.02,.35,.14,.08,.06,-.08,-.24,-1.09
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.29,-.18,-.20,-.80
1955,-.14,-.09,-.21,.05,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.38,-.14,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.17,.14,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.48,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.03,-.10,-.07,-.76
1961,.06,.08,.03,.19,-.04,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.07,.24,-.05,-.08,.45,.31,.14,-.05,-.05,.09,-.07,-.66
1963,.05,.14,-.03,.14,.11,-.12,-.16,.31,.13,.13,.09,-.10,-.17,-.04
1964,-.20,-.19,-.21,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.15,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.09,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.08
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.21,-.13,-.06,.07,.07,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.43
1972,.01,-.17,.20,-.34,.17,.14,-.37,-.47,-.25,.07,.27,.16,-.02,.45
1973,.16,.10,.23,.11,.19,.18,.07,.27,.02,.08,.30,.22,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.22,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.16,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.11,.09,-.07,-.32,-.28,-.13,-.10,.11,.22,-.24
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.10,.22,.22,.31,.28
1978,.07,.02,.12,-.03,.08,.16,-.16,.03,-.04,.10,.06,.21,.13,.04
1979,.17,.08,.25,-.03,.26,.23,-.61,.06,.09,.25,.27,.30,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.09,.78,.09,.22,.15,.28,.38,.61
1982,.14,.05,.23,-.08,.27,.18,-.40,.09,-.08,.25,.30,.19,.32,-.11
1983,.31,.25,.39,.22,.44,.24,.19,.69,-.07,.29,.58,.21,.41,.04
1984,.16,.04,.28,.02,.19,.26,.37,.08,-.13,.07,.30,.16,.32,.52
1985,.12,.00,.24,-.03,.09,.30,.39,-.27,-.01,.04,.15,.30,.44,.04
1986,.18,.13,.23,.11,.23,.20,.01,.28,.03,.17,.28,.25,.25,-.11
1987,.32,.25,.41,.04,.59,.25,-.36,.13,.12,.55,.63,.32,.25,.01
1988,.39,.37,.41,.40,.38,.39,.59,.57,.24,.32,.43,.38,.20,.87
1989,.27,.27,.28,.41,.13,.34,.34,.69,.25,.06,.20,.36,.30,.35
1990,.45,.53,.37,.63,.37,.38,.58,.88,.49,.38,.37,.37,.37,.38
1991,.41,.41,.40,.47,.37,.40,.76,.66,.26,.32,.41,.31,.29,.96
1992,.22,.13,.31,.10,.28,.26,-.16,.44,-.03,.20,.37,.20,.33,.38
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.11,.28,.36,.27,.39,-.30
1994,.32,.37,.26,.43,.31,.20,.35,.50,.42,.28,.35,.26,.23,-.05
1995,.45,.58,.32,.70,.43,.22,1.31,.99,.31,.40,.46,.29,.15,.15
1996,.33,.26,.39,.23,.32,.43,.77,.17,.10,.31,.34,.33,.28,1.21
1997,.46,.52,.42,.53,.51,.33,.76,.90,.22,.49,.53,.42,.36,.00
1998,.61,.70,.52,.78,.69,.33,.86,.94,.66,.59,.80,.39,.31,.16
1999,.39,.48,.29,.70,.21,.31,.40,.80,.74,.15,.26,.46,.19,.04
2000,.40,.50,.29,.70,.25,.29,.98,.80,.55,.20,.29,.42,.10,.29
2001,.54,.64,.44,.80,.42,.43,1.07,.86,.68,.40,.45,.58,.24,.32
2002,.63,.71,.55,.83,.59,.48,1.26,1.00,.58,.54,.64,.50,.32,.78
2003,.62,.75,.50,.84,.64,.38,1.50,.98,.54,.61,.67,.45,.24,.44
2004,.54,.66,.42,.73,.55,.34,.47,.96,.66,.56,.54,.48,.23,.05
2005,.68,.86,.51,1.02,.62,.43,1.99,1.23,.57,.62,.63,.50,.18,.71
2006,.64,.81,.47,.99,.56,.41,1.73,1.06,.70,.56,.55,.52,.19,.48
2007,.67,.85,.48,1.13,.46,.48,2.11,1.32,.69,.44,.48,.50,.07,1.29
2008,.54,.68,.41,.92,.37,.40,1.54,1.08,.61,.33,.42,.53,.09,.62
2009,.66,.72,.60,.78,.68,.52,1.42,.60,.68,.65,.71,.61,.15,1.01
2010,.72,.90,.55,1.02,.69,.48,2.22,.86,.74,.71,.66,.64,.20,.49
2011,.61,.74,.47,.99,.37,.55,2.34,.94,.58,.38,.36,.65,.18,1.02
2012,.65,.81,.48,1.04,.53,.41,2.21,.93,.74,.47,.58,.57,.19,.32
2013,.68,.80,.56,.95,.58,.55,1.55,1.05,.69,.58,.58,.63,.22,.91
2014,.75,.92,.58,1.08,.67,.52,2.03,1.14,.73,.68,.65,.73,.18,.55
2015,.90,1.18,.63,1.32,.96,.40,1.98,1.48,1.00,.97,.94,.76,.18,-.36
2016,1.02,1.31,.73,1.55,1.01,.49,3.23,1.44,1.08,.95,1.07,.68,.25,.37
2017,.92,1.18,.67,1.39,.82,.59,2.52,1.38,1.04,.86,.78,.76,.35,.52
2018,.85,1.04,.66,1.25,.68,.68,2.14,1.10,1.06,.73,.63,.80,.37,.92
2019,.98,1.21,.75,1.41,.90,.65,2.67,1.43,1.00,.91,.89,.75,.39,.86
